GENE_ID	SYMBOL	ANNOTATION_ID	read01	read02	read03	read04	read05	read06	read07	read08
FBgn0000003	7SLRNA:CR32864	CR32864	0	0	0	0	0	0	0	0
FBgn0000008	a	CG6741	0.98133415433852	0.9759508918142	0	0	0	0	0	0
FBgn0000014	abd-A	CG10325	0.98133415433852	0	1.97454760930877	0	1.9765469678939	0.988362391867748	0	0
FBgn0000015	Abd-B	CG11648	0	0.9759508918142	0	0	0	0.988362391867748	0	0
FBgn0000017	Abl	CG4032	1.96266830867704	1.9519017836284	0.987273804654386	2.92733495087421	1.9765469678939	1.9767247837355	4.90962974166499	2.94247090399171
FBgn0000018	abo	CG6093	0	0.9759508918142	0	0	0	0.988362391867748	0.981925948332997	0
FBgn0000022	ac	CG3796	0	0	0	0	0	0	0	0
FBgn0000024	Ace	CG17907	31.4026929388326	50.7494463743384	19.7454760930877	39.0311326783228	13.8358287752573	13.8370734861485	13.746963276662	11.7698836159669
FBgn0000028	acj6	CG9151	0	0	0	0	0	0	0	0
FBgn0000032	Acph-1	CG7899	1.96266830867704	1.9519017836284	0.987273804654386	3.90311326783228	2.96482045184085	3.95344956747099	2.94577784499899	0
FBgn0000036	nAChRalpha1	CG5610	0	0	0	0	0	0	0	0
FBgn0000037	mAChR-A	CG4356	0	0	0	0	0	0	0	0
FBgn0000038	nAChRbeta1	CG11348	0	0	0	0	0	0	0	0
FBgn0000039	nAChRalpha2	CG6844	0	0	0	0	0	0	0	0
FBgn0000042	Act5C	CG4027	618.240517233267	627.536423436531	645.677068243969	663.529255531488	653.248772888933	610.807958174268	678.510830298101	600.264064414309
FBgn0000043	Act42A	CG12051	33.3653612475097	23.4228214035408	29.6182141396316	25.3702362409098	19.765469678939	18.7788854454872	28.4758525016569	23.5397672319337
FBgn0000044	Act57B	CG10067	83.4134031187742	81.9798749123928	89.8419162235491	86.8442702092683	70.1674173602333	99.8246015786425	57.9336309516468	81.4083616771041
FBgn0000045	Act79B	CG7478	0	1.9519017836284	0	1.95155663391614	0.988273483946949	0.988362391867748	0.981925948332997	0
